id,title
0,ALASKA
1,ARIZONA
2,ARKANSAS
3,CALIFORNIA
4,COLORADO
5,CONNECTICUT
6,DELAWARE
7,FLORIDA
8,GEORGIA
9,HAWAII
10,IDAHO
11,ILLINOIS
12,INDIANA
13,IOWA
14,KANSAS
15,KENTUCKY
16,LOUISIANA
17,MAINE
18,MARYLAND
19,MASSACHUSETTS
20,MICHIGAN
21,MINNESOTA
22,MISSISSIPPI
23,MISSOURI
24,MONTANA
25,NEBRASKA
26,NEVADA
27,NEW HAMPSHIRE
28,NEW JERSEY
29,NEW MEXICO
30,NEW YORK
31,NORTH CAROLINA
32,NORTH DAKOTA
33,OHIO
34,OKLAHOMA
35,OREGON
36,PENNSYLVANIA
37,RHODE ISLAND
38,SOUTH CAROLINA
39,SOUTH DAKOTA
40,TENNESSEE
41,TEXAS
42,UTAH
43,VERMONT
44,VIRGINIA
45,WASHINGTON
46,WEST VIRGINIA
47,WISCONSIN
48,WYOMING
49,DISTR COLUMBIA
50,PUERTO RICO
51,VIRGIN ISLANDS
52,AMERICAN SAMOA
53,GUAM
54,NO. MARIANA IS.
55,MARSHALL IS.
56,MICRONESIA
57,PALAU
58,PREL SET-ASIDE
59,TOTAL
