id,title
0,Michael LeDuc SR | Bib: 575 Conn College
1,John Crain SR | Bib: 703 North Central
2,Grant Wintheiser JR | Bib: 765 St. Olaf
3,Eli Horton JR | Bib: 546 Central College
4,Wylie Mangelsdorf SR | Bib: 738 Principia
5,John Guzman JR | Bib: 724 Occidental
6,Matt Berens JR | Bib: 508 Bethel (Minn.)
7,Jake Brown JR | Bib: 756 St. Olaf
8,Bobby Over SR | Bib: 491 Allegheny
9,Roger Klein SR | Bib: 708 North Central
10,Austin O'Brien SR | Bib: 548 Central College
11,Coby Horowitz SR | Bib: 509 Bowdoin
12,Ryan Mugan SO | Bib: 827 Wis.-Eau Claire
13,Ryan Steinbock SR | Bib: 592 Dickinson
14,Patrick Jenkins JR | Bib: 855 Wis.-Stout
15,Greg Krathwohl SR | Bib: 683 Middlebury
16,Brian Saksa SR | Bib: 764 St. Olaf
17,Kevin Sparks SR | Bib: 810 Wash U
18,Chris Stadler SR | Bib: 633 Haverford
19,Dylan Karten SR | Bib: 718 NYU
20,Zorg Loustalet SO | Bib: 558 C-M-S
21,Colin Cotton JR | Bib: 813 Williams
22,Nick Marcantonio JR | Bib: 582 Cortland St.
23,Tim Hartung SR | Bib: 857 York (Pa.)
24,Andrew Padgett JR | Bib: 806 Wash U
25,Chad Norton SR | Bib: 621 Guilford
26,Brett Kubiak SR | Bib: 622 Gwynedd-Mercy
27,Marty Mitchell SR | Bib: 663 Luther
28,Dan McGeary JR | Bib: 699 Mount Union
29,Max Robinson SR | Bib: 641 Johns Hopkins
30,Jake Campbell SO | Bib: 757 St. Olaf
31,Parker Bennett SR | Bib: 812 Willamette
32,Timothy Hird SR | Bib: 706 North Central
33,Will Cross JR | Bib: 596 Elmhurst
34,Troy Kelleher SO | Bib: 707 North Central
35,Andrew Rohlman SR | Bib: 840 Wis.-La Crosse
36,Tully Hannan SR | Bib: 500 Bates
37,Garrett Patrick JR | Bib: 807 Wash U
38,Frank Canady SR | Bib: 617 Grinnell
39,Jacob Peterson SR | Bib: 839 Wis.-La Crosse
40,Bijan Mazaheri SO | Bib: 821 Williams
41,Austin Bauer SR | Bib: 657 Luther
42,Andris Goncarovs SR | Bib: 620 Guilford
43,Roy Wedge SR | Bib: 696 MIT
44,Nate Routhier JR | Bib: 841 Wis.-La Crosse
45,Kevin Wood JR | Bib: 687 Middlebury
46,Cole Decker SO | Bib: 542 Central College
47,Ryan Root SR | Bib: 709 North Central
48,Josh Dedering SR | Bib: 834 Wis.-La Crosse
49,Avi Bregman SR | Bib: 625 Haverford
50,Michael Ellenberger SR | Bib: 804 Wash U
51,Alex Ciesielski JR | Bib: 833 Wis.-La Crosse
52,Josh Newby SR | Bib: 540 Carnegie Mellon
53,Sam Read SR | Bib: 800 Wartburg
54,Christian Leitner SO | Bib: 825 Wis.-Eau Claire
55,Ryan James SR | Bib: 507 Berry
56,Cohen Miles-Rath JR | Bib: 613 Geneseo St.
57,Daniel Povitsky SR | Bib: 786 U. of Chicago
