id,title
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,California
5,Colorado
6,Connecticut
7,Delaware
8,District of Columbia
9,Florida
10,Georgia
11,Guam
12,Hawaii
13,Idaho
14,Illinois
15,Indiana
16,Iowa
17,Kansas
18,Kentucky
19,Louisiana
20,Maine
21,Maryland
22,Massachusetts
23,Michigan
24,Minnesota
25,Mississippi
26,Missouri
27,Montana
28,Nebraska
29,Nevada
30,New Hampshire
31,New Jersey
32,New Mexico
33,New York
34,North Carolina
35,North Dakota
36,Ohio
37,Oklahoma
38,Oregon
39,Pennsylvania
40,Rhode Island
41,South Carolina
42,South Dakota
43,Tennessee
44,Texas
45,Unknown
46,Utah
47,Vermont
48,Virginia
49,Washington
50,West Virginia
51,Wisconsin
52,Wyoming
